worker,start_date,years_worked
Ada Abramczuk (jozef78),2024-04-03,1
Ada Aleksander (ewa051),2021-07-05,4
Ada Ambrożewicz (ygomola),2022-03-31,3
Ada Andruszko (wojciechbros),2023-03-06,2
Ada Bakalarczyk (ngula),2023-07-10,2
Ada Balas (tmanista),2024-09-12,1
Ada Bałazy (urszulaplich),2023-10-24,2
Ada Bandyk (olgierd79),2022-08-14,3
Ada Banek (nikodem36),2022-03-24,3
Ada Bastek (carendarczyk1),2023-11-17,2
Ada Bastek (patolaandrzej),2022-08-04,3
Ada Bazydło (marekbalawender),2022-05-23,3
Ada Becker (albert731),2021-11-24,4
Ada Berus (akosz),2023-02-20,2
Ada Białczyk (adrianjedrasiak),2021-01-18,4
Ada Bilewicz (lidiakurz),2022-01-10,3
Ada Boduch (sajkonstanty),2023-12-19,1
Ada Borkowicz (leon021),2022-03-17,3
Ada Boruń (owczarczakwojciech),2023-04-08,2
Ada Bracha (usopata),2024-04-07,1
Ada Bryczek (kalinamusiala),2021-12-10,4
Ada Bryja (stefanbasaj),2024-01-15,1
Ada Budzyń (jerzymilczarczyk1),2023-06-19,2
Ada Bujas (filipbartoszak),2021-08-09,4
Ada Bulanda (dpyda2),2023-12-21,1
Ada Burdach (alex553),2021-12-26,3
Ada Buś (mbystrek),2022-05-03,3
Ada Bylina (mysiakagnieszka),2023-05-13,2
Ada Bystroń (stanislawmadajczyk),2023-07-24,2
Ada Bzdęga (lapajlidia),2023-03-03,2
Ada Chyb (blipowicz),2021-04-19,4
Ada Ciapa (baswiktor),2021-09-21,4
Ada Ciastek (hkajdas1),2022-09-01,3
Ada Cichos (skalainga),2024-09-17,1
Ada Cieciora (rozalitewka),2022-04-08,3
Ada Cieciura (zciesielczyk),2024-01-28,1
Ada Cimoch (uczulak1),2021-12-01,4
Ada Czenczek (zharasimiuk1),2021-09-08,4
Ada Czerner (aleksander40),2023-06-11,2
Ada Czerniakiewicz (wardzalaarkadiusz),2021-01-22,4
Ada Częścik (olewniczakangelika),2023-12-29,1
Ada Czochara (tadeuszklebba),2023-07-14,2
Ada Ćmiel (gojblanka1),2021-12-28,3
Ada Danilczuk (grundjozef),2023-11-14,2
Ada Dawidczyk (natanielzoltek),2022-07-03,3
Ada Dębniak (mgosik),2023-06-29,2
Ada Dmoch (marcinsadura),2024-10-12,1
Ada Dobosiewicz (roza19),2021-05-16,4
Ada Doroszuk (alekskazimierczuk),2024-03-30,1
Ada Drążyk (nicolebiernacik),2021-11-06,4
Ada Drobek (ewelinabajko),2021-08-09,4
Ada Dub (kajetanszlek),2022-11-07,3
Ada Dulemba (itrabka),2024-05-05,1
Ada Duras (wfranczuk),2023-06-19,2
Ada Dybaś (mudlaffoskar),2021-11-21,4
Ada Dylak (buszkiewiczjanina),2021-03-16,4
Ada Dylong (makulecolga),2023-11-17,2
Ada Dymarczyk (dudziczfabian),2021-05-26,4
Ada Dytko (biankazajko),2024-02-27,1
Ada Dziadkiewicz (jessamonika),2023-10-25,2
Ada Dziadkowiec (imytych),2020-12-07,5
Ada Dziczek (emilruszel),2022-03-29,3
Ada Dzierżak (xkozdra),2021-09-03,4
Ada Dzikiewicz (blankagolenia),2024-07-23,1
Ada Dziopa (siwczakblanka),2024-07-10,1
Ada Dziuban (dbodzak),2020-12-23,4
Ada Elert (oliwier53),2022-04-11,3
Ada Famuła (xmaterka),2022-08-15,3
Ada Fechner (mlotekmarianna),2021-12-17,3
Ada Felisiak (landruszko),2023-12-23,1
Ada Fidor (raznyinga),2020-12-27,4
Ada Fierek (poleszakgabriel),2024-10-22,1
Ada Fijałek (cholodybruno),2022-05-09,3
Ada Fitas (opiolaolgierd),2023-12-18,1
Ada Flieger (lidiakotala1),2021-04-26,4
Ada Fogt (jedrusiakolaf),2023-09-06,2
Ada Foremniak (qfamula),2024-07-04,1
Ada Fronczek (piotrmalysiak),2023-02-10,2
Ada Fronia (msygut),2021-10-18,4
Ada Fulara (molesiejuk),2024-07-26,1
Ada Gabryelczyk (arkadiuszthomas),2023-09-18,2
Ada Geisler (olaf482),2023-09-10,2
Ada Gemza (jozefknapek),2022-05-03,3
Ada Gębura (igor27),2023-04-01,2
Ada Giel (drostlidia),2024-05-09,1
Ada Giel (fpenkala),2022-03-02,3
Ada Gieroń (julianna53),2021-05-05,4
Ada Giezek (urszulawosiek),2024-09-23,1
Ada Giża (pietrusiakleonard),2020-12-16,4
Ada Glaza (sebastianpierz),2021-11-29,4
Ada Gładka (kacper291),2022-05-23,3
Ada Gmurczyk (szumilolukasz),2024-07-10,1
Ada Goliasz (sylwiakozica),2023-12-11,1
Ada Gonet (xlapaj),2022-04-21,3
Ada Górnisiewicz (przewoznadorota),2020-11-24,5
Ada Gronostaj (gros),2023-04-26,2
Ada Grycz (marcelina471),2023-06-02,2
Ada Grymuza (kamila10),2022-11-08,3
Ada Gryska (qszmagaj),2021-09-26,4
