worker_id,name,surname,hours_of_work
23910,Angelika,Szłapa,"3 days, 0:00:00"
47765,Malwina,Wiza,"3 days, 0:00:00"
103843,Ksawery,Koss,"3 days, 0:00:00"
82431,Aleks,Dytko,"3 days, 0:00:00"
17858,Jędrzej,Prygiel,"3 days, 0:00:00"
86971,Nela,Tworzydło,"2 days, 16:00:00"
50171,Anastazja,Kadela,"2 days, 16:00:00"
85403,Oliwier,Kwapień,"2 days, 16:00:00"
23306,Jędrzej,Ambrożewicz,"2 days, 16:00:00"
60437,Bruno,Hampel,"2 days, 16:00:00"
38304,Justyna,Knapek,"2 days, 16:00:00"
78561,Nicole,Gogół,"2 days, 16:00:00"
90076,Emil,Jakoniuk,"2 days, 16:00:00"
86991,Leonard,Budner,"2 days, 16:00:00"
18598,Franciszek,Durczok,"2 days, 16:00:00"
66601,Konrad,Józefczak,"2 days, 16:00:00"
29890,Sandra,Mazepa,"2 days, 16:00:00"
18467,Mieszko,Kamela,"2 days, 16:00:00"
77760,Malwina,Łasak,"2 days, 16:00:00"
24422,Paweł,Knapek,"2 days, 16:00:00"
71254,Adrian,Łyp,"2 days, 16:00:00"
101032,Aleks,Cibor,"2 days, 16:00:00"
101840,Krzysztof,Mielke,"2 days, 16:00:00"
28792,Ernest,Iskierka,"2 days, 16:00:00"
76981,Sebastian,Fura,"2 days, 16:00:00"
76859,Igor,Haremza,"2 days, 16:00:00"
70700,Dagmara,Marciniszyn,"2 days, 16:00:00"
11154,Karina,Mądrzyk,"2 days, 16:00:00"
70181,Natasza,Bączkiewicz,"2 days, 16:00:00"
71926,Patryk,Miąsko,"2 days, 16:00:00"
56097,Robert,Roch,"2 days, 16:00:00"
63075,Malwina,Pryszcz,"2 days, 16:00:00"
96484,Malwina,Siatka,"2 days, 16:00:00"
94972,Iwo,Pęksa,"2 days, 16:00:00"
52230,Aurelia,Nowotny,"2 days, 16:00:00"
101658,Krystian,Klemens,"2 days, 16:00:00"
48725,Łukasz,Sysło,"2 days, 16:00:00"
100956,Natasza,Jędra,"2 days, 16:00:00"
95533,Łukasz,Laszuk,"2 days, 16:00:00"
47652,Wiktor,Zontek,"2 days, 16:00:00"
9181,Anastazja,Komander,"2 days, 16:00:00"
79437,Bartek,Kacperek,"2 days, 8:00:00"
91048,Hubert,Lepianka,"2 days, 8:00:00"
54694,Rozalia,Dorociak,"2 days, 8:00:00"
83959,Alan,Prawdzik,"2 days, 8:00:00"
53,Liwia,Sinkiewicz,"2 days, 8:00:00"
104724,Kalina,Cebo,"2 days, 8:00:00"
22976,Norbert,Gamrat,"2 days, 8:00:00"
39854,Grzegorz,Głownia,"2 days, 8:00:00"
26174,Leonard,Szeszko,"2 days, 8:00:00"
70083,Juliusz,Kopiczko,"2 days, 8:00:00"
7729,Malwina,Łusiak,"2 days, 8:00:00"
22026,Marcelina,Wielądek,"2 days, 8:00:00"
31601,Nataniel,Foremniak,"2 days, 8:00:00"
47363,Ksawery,Krokosz,"2 days, 8:00:00"
30342,Jan,Natanek,"2 days, 8:00:00"
93350,Sara,Stawczyk,"2 days, 8:00:00"
81776,Marianna,Kucz,"2 days, 8:00:00"
66410,Stanisław,Parus,"2 days, 8:00:00"
93131,Ksawery,Lato,"2 days, 8:00:00"
35989,Ida,Herba,"2 days, 8:00:00"
40529,Sonia,Karkocha,"2 days, 8:00:00"
92085,Juliusz,Celuch,"2 days, 8:00:00"
5633,Tymon,Orwat,"2 days, 8:00:00"
103960,Juliusz,Dziadowicz,"2 days, 8:00:00"
73756,Rozalia,Pochroń,"2 days, 8:00:00"
6343,Róża,Grądziel,"2 days, 8:00:00"
