regional_manager_id,name,surname,number_of_regions
1105076,Kalina,Kozłowicz,4
1105459,Oliwier,Raźny,4
1105461,Bruno,Trybus,4
1105049,Klara,Wojtiuk,4
1105108,Blanka,Franczuk,3
1105421,Radosław,Olszowa,3
1105146,Maks,Węgrzynowicz,3
1105176,Jędrzej,Długozima,3
1105256,Ewelina,Stawinoga,3
1105106,Tymon,Matura,3
1105379,Tadeusz,Szpara,3
1105016,Ernest,Łuczyk,3
1105047,Nikodem,Dydo,3
1105319,Filip,Łapaj,3
1105021,Dariusz,Ziegler,3
1105193,Tadeusz,Wojak,3
1105195,Justyna,Hamera,3
1105431,Hubert,Janiga,3
1105478,Marcelina,Pleśniak,3
1105226,Cyprian,Capiga,3
1105494,Krystyna,Kalarus,3
